회사명,주요제품,비고,종목코드,국적,상장유형,증권구분,상장일,철회일,상장주선인/지정자문인,업종,액면가 (원),공모가 (원),공모금액 (천원),최초상장주식수 (주),유통가능주식수(주),유통비율,공모주식수,신주모집수량,구주매출수량,신주비중,구주비중,인수수수료,수수료율,수요예측 경쟁률,일반청약 경쟁률,기관투자자 참여건수,기관투자자 참여건수(국내),기관투자자 참여건수(해외),일반청약자 청약건수,의무보유 확약,청약증거금(백만원),수요예측일(시작),수요예측일(마감),청약일(시작),청약일(마감),납입일,희망공모가하단(원),희망공모가상단(원),결정 수준,주당평가가액(원),할인율(하단),할인율(상단),상장요건,평가등급(상위),평가등급(하위),가치평가방법,증권신고서 상 멀티플
~,,NEW_자동추가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴엔AI,AI 빅데이터 분석 플랫폼,,463020,대한민국,신규상장,주권,2025-07-04,,엔에이치투자증권(주),소프트웨어 개발 및 공급업,500,"15,000","33,300,000","8,879,200",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
지에프씨생명과학,"마이크로바이옴, 엑소좀 기반 바이오 소재",,388610,대한민국,이전상장,주권,2025-06-30,,대신증권(주),기타 화학제품 제조업,500,"15,300","11,995,200","5,225,709",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
지씨지놈,"G-NIPT, 아이캔서치, 암패널, 희귀패널 등",,340450,대한민국,신규상장,주권,2025-06-11,,삼성증권(주),"그외 기타 전문, 과학 및 기술 서비스업",500,"10,500","42,000,000","23,650,793",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
링크솔루션,3D 프린터 및 3D 프린팅 서비스,,474650,대한민국,신규상장,주권,2025-06-10,,신영증권(주),특수 목적용 기계 제조업,100,"23,000","20,700,000","5,579,032",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
키스트론,"전자부품용 와이어, 케이블용 와이어 등",,475430,대한민국,신규상장,주권,2025-06-02,,신한투자증권 주식회사,절연선 및 케이블 제조업,500,"3,600","22,680,000","17,848,110",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
신한제16호스팩,기타금융서비스(기업합병),,496070,대한민국,신규상장,주권,2025-05-29,,신한투자증권 주식회사,금융 지원 서비스업,100,"2,000","10,000,000","5,620,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
인투셀,ADC 링커/톡신 플랫폼 기술,,287840,대한민국,신규상장,주권,2025-05-23,,미래에셋증권 주식회사,자연과학 및 공학 연구개발업,500,"17,000","25,500,000","14,829,094",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
달바글로벌,"기초 화장품, 건강기능식품 등",,483650,대한민국,신규상장,주권,2025-05-22,,미래에셋증권 주식회사,기타 화학제품 제조업,100,"66,300","43,360,200","12,069,665",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
바이오비쥬,스킨부스터 제품 및 필러,,489460,대한민국,신규상장,주권,2025-05-20,,대신증권(주),기타 화학제품 제조업,500,"9,100","27,300,000","15,044,430",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
이뮨온시아,면역항암제 신약개발,,424870,대한민국,신규상장,주권,2025-05-19,,한국투자증권(주),자연과학 및 공학 연구개발업,500,"3,600","32,905,735","73,004,309",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
로킷헬스케어,장기 재생 플랫폼,,376900,대한민국,신규상장,주권,2025-05-12,,SK증권(주),의료용품 및 기타 의약 관련제품 제조업,500,"11,000","17,160,000","9,669,449",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
